pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\08_ddqn_img_cnn_aug_5000\DDQN_seed0_0806_211939
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / NatureCNN (1,688,745 trainable parameters)
arch    : 
            [conv1]  Conv2d(4->32,k=8,s=4) -> ReLU
            [conv2]  Conv2d(32->64,k=4,s=2) -> ReLU
            [conv3]  Conv2d(64->64,k=3,s=1) -> ReLU
            [fc]     Flatten -> Linear(3136->512) -> ReLU
            [head]   Linear(512->9)
run     : device=cuda, seed=0, episodes=5000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=512, layer_norm=False, dueling_net=False, use_attention=False(4 heads, fusion=residual, position=relative), augmentation=True(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.00198
env     : type=img, obs=(4, 84, 84), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

ep 1440/5000 steps=204090 score20=8.35 eps=0.010 loss=0.01775 q=0.600 sps=386 elapsed=8.8m
ep 1460/5000 steps=207281 score20=10.15 eps=0.010 loss=0.01628 q=0.623 sps=387 elapsed=8.9m
ep 1480/5000 steps=209565 score20=7.15 eps=0.010 loss=0.02002 q=0.631 sps=387 elapsed=9.0m
ep 1500/5000 steps=212470 score20=9.10 eps=0.010 loss=0.01708 q=0.635 sps=387 elapsed=9.1m
  [eval] ep=1500 mean=9.00+-1.52 median=8.0 max=33 P(>=120)=0.00 entropy=1.08/2.20 wnorm=32.037 srank=226/512
ep 1520/5000 steps=215895 score20=10.90 eps=0.010 loss=0.01788 q=0.606 sps=385 elapsed=9.3m
ep 1540/5000 steps=218418 score20=7.95 eps=0.010 loss=0.01627 q=0.606 sps=386 elapsed=9.4m
ep 1560/5000 steps=221513 score20=9.80 eps=0.010 loss=0.01712 q=0.616 sps=386 elapsed=9.6m
ep 1580/5000 steps=225159 score20=11.55 eps=0.010 loss=0.01719 q=0.645 sps=386 elapsed=9.7m
ep 1600/5000 steps=227868 score20=8.45 eps=0.010 loss=0.01898 q=0.635 sps=386 elapsed=9.8m
